[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	square
-1.974409	-4.071267e-010	-1.975946	-0.000103	0.010148891565092
-1.996648	-2.105855e-009	-2.00065	-0.000114	0.010677078252031
-2.020935	-1.620517e-009	-2.025546	-0.000124	0.01113552872566
-2.045222	-8.925112e-010	-2.050202	-0.000135	0.011618950038622
-2.069508	1.898046e-009	-2.075434	-0.000147	0.012124355652982
-2.091366	-1.377849e-009	-2.100699	-0.00016	0.012649110640674
-2.118081	3.208013e-010	-2.125492	-0.000172	0.013114877048604
-2.141953	-2.348101e-009	-2.150318	-0.000185	0.013601470508735
-2.168664	1.291132e-009	-2.175497	-0.000199	0.014106735979666
-2.19337	-1.377849e-009	-2.200649	-0.000213	0.014594519519326
-2.217656	-6.498424e-010	-2.225522	-0.000228	0.015099668870542
-2.244371	1.77672e-009	-2.250622	-0.000243	0.01558845726812
-2.271087	-2.348524e-009	-2.275567	-0.000258	0.016062378404209
-2.297802	2.1407e-009	-2.300641	-0.000274	0.016552945357247
-2.324517	-2.858392e-010	-2.325254	-0.000291	0.017058722109232
-2.348804	-7.711768e-010	-2.350363	-0.000308	0.017549928774784
-2.375519	2.262026e-009	-2.375327	-0.000325	0.01802775637732
-2.397377	-1.013846e-009	-2.400807	-0.000343	0.018520259177452
-2.424092	6.84781e-010	-2.425521	-0.000361	0.019
-2.44595	8.061075e-010	-2.450752	-0.000379	0.019467922333932
-2.470237	-2.22719e-009	-2.475837	-0.000398	0.01994993734326
-2.494523	2.1407e-009	-2.500375	-0.000418	0.020445048300261
-2.51881	2.383353e-009	-2.525705	-0.000438	0.020928449536456
-2.543096	-1.256514e-009	-2.550588	-0.000458	0.021400934559033
-2.567383	-1.013846e-009	-2.575553	-0.000478	0.021863211109075
-2.59167	2.262026e-009	-2.600294	-0.0005	0.022360679774998
-2.618385	-1.013846e-009	-2.625682	-0.000521	0.022825424421027
-2.642671	1.655393e-009	-2.65061	-0.000543	0.023302360395462
-2.669387	8.061075e-010	-2.675735	-0.000565	0.023769728648009
-2.696102	-1.863186e-009	-2.701099	-0.000588	0.024248711305964
-2.724719	2.140254e-009	-2.725509	-0.000611	0.024718414188617
-2.749532	-7.711768e-010	-2.750669	-0.000634	0.025179356624028
-2.773819	-1.863186e-009	-2.775703	-0.000658	0.025651510676761
-2.800534	1.77672e-009	-2.800682	-0.000682	0.026115129714401
-2.824821	-1.620517e-009	-2.825469	-0.000707	0.026589471600617
-2.848556	-4.320178e-011	-2.850695	-0.000732	0.027055498516937
-2.872838	7.81013e-011	-2.87575	-0.000757	0.027513632984395
-2.89712	-2.348101e-009	-2.900663	-0.000783	0.027982137159266
-2.921402	5.633136e-010	-2.926216	-0.000809	0.028442925306656
-2.943255	-6.497485e-010	-2.950599	-0.000835	0.0288963665536
-2.967537	-1.741547e-009	-2.975752	-0.000862	0.029359836511806
-2.992398	2.383353e-009	-3.000947	-0.000889	0.029816103031751

